,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,name,position,value,Goals_Assists,position_short,team_short,understat_ID,xG,xA,shots,key_passes,npg,npxG,xGChain,xGBuildup,Difficulty,Avg_Difficulty,GW,Opponents,Home_away
137,,,469142,0,0,0,0,0,2,1.0,0.5,0,Jan Paul,0.0,544,False,,,40,469142.jpg,0.0,van Hecke,0.2,False,,a,Brighton,36,0,2138,2138,960,960,0.0,0.0,Van Hecke,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,322,129,317,126,251,91,338,129,,,,,,,Jan Paul van Hecke Van Hecke,Defender,0.0,0,D,BHA,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 3, 2, 2]",2.5,"[2, 3, 4, 5]","['Newcastle', 'West Ham', 'Leeds', 'Fulham']","['H', 'a', 'H', 'a']"
138,,,460028,0,0,0,0,0,2,1.9,1.4,1,Levi,1.0,559,False,,,45,460028.jpg,0.2,Colwill,0.1,False,,a,Brighton,36,1,744,744,235,235,0.2,0.2,Colwill,1,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,262,97,254,92,411,182,457,193,,,,,,,Levi Colwill Colwill,Defender,0.2,0,D,BHA,10805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 3, 2, 2]",2.5,"[2, 3, 4, 5]","['Newcastle', 'West Ham', 'Leeds', 'Fulham']","['H', 'a', 'H', 'a']"
139,,,478912,0,0,0,0,0,3,1.0,1.5,0,Carney,0.0,48,False,,,45,478912.jpg,0.0,Chukwuemeka,0.7,False,,a,Chelsea,8,0,2453,2453,4684,4684,0.0,0.0,Chukwuemeka,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,454,170,457,178,421,156,466,177,,,,,,,Carney Chukwuemeka Chukwuemeka,Midfielder,0.0,0,M,CHE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
140,,,179268,0,0,0,0,0,2,2.3,2.8,0,Marc,0.0,112,False,,,50,179268.jpg,0.0,Cucurella Saseta,8.3,False,,a,Chelsea,8,0,28373,28373,64523,64523,0.0,0.0,Cucurella,15,0,0,0,0,0,0,0,1,0,0,0,8,7.0,19.2,0.0,2.6,182,81,57,13,482,197,149,54,,,,,,,Marc Cucurella Saseta Cucurella,Defender,0.0,0,D,CHE,7134,0.0,0.34946149587631226,0.0,1.0,0.0,0.0,0.34946149587631226,0.34946149587631226,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
141,,,41328,0,0,0,0,0,2,2.3,2.8,7,César,7.0,127,False,,,50,41328.jpg,1.4,Azpilicueta,1.8,False,,a,Chelsea,8,7,19986,19986,6813,6813,1.4,1.4,Azpilicueta,90,0,0,1,0,0,0,0,0,0,0,1,30,19.0,25.9,2.0,4.7,81,35,35,7,165,50,81,22,,,,,,,César Azpilicueta Azpilicueta,Defender,1.4,0,D,CHE,681,0.0,0.2522071301937103,0.0,2.0,0.0,0.0,0.5446101427078247,0.5446101427078247,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
142,,,51090,0,0,0,0,0,2,2.6,3.1,6,Thiago,6.0,128,False,,,55,51090.jpg,1.1,Emiliano da Silva,6.6,False,,a,Chelsea,8,6,12899,12899,16551,16551,1.1,1.1,Thiago Silva,90,0,0,1,0,0,0,0,0,0,0,0,27,25.0,1.8,0.0,2.7,52,20,165,51,515,205,143,49,,,,,,,Thiago Emiliano da Silva Thiago Silva,Defender,1.1,0,D,CHE,3288,0.0,0.0,0.0,0.0,0.0,0.0,0.06218760460615158,0.06218760460615158,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
143,,,82263,0,0,0,0,0,2,2.6,3.1,0,Marcos,0.0,129,False,,,55,82263.jpg,0.0,Alonso,3.2,False,,a,Chelsea,8,0,2027,2027,41026,41026,0.0,0.0,Alonso,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,526,207,535,207,519,206,536,207,2.0,,2.0,,,,Marcos Alonso Alonso,Defender,0.0,0,D,CHE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
144,,,85955,0,0,0,0,1,3,2.2,2.7,11,Jorge Luiz,11.0,130,True,,,60,85955.jpg,1.8,Frello Filho,2.9,False,,a,Chelsea,8,11,66902,66902,9133,9133,1.8,1.8,Jorginho,90,1,0,1,0,0,0,0,0,0,0,3,32,39.0,18.1,19.0,7.6,19,8,64,42,72,41,34,20,,,,,1.0,,Jorge Luiz Frello Filho Jorginho,Midfielder,1.8,1,M,CHE,1389,0.7611688375473022,0.06218760460615158,1.0,1.0,0.0,0.0,0.5497860908508301,0.4875985085964203,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
145,,,88894,0,0,0,0,0,3,1.6,2.1,0,Ross,0.0,131,False,,,50,88894.jpg,0.0,Barkley,0.1,False,,a,Chelsea,8,0,193,193,596,596,0.0,0.0,Barkley,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,482,192,489,201,455,179,494,199,,,,,,,Ross Barkley Barkley,Midfielder,0.0,0,M,CHE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
146,,,91651,0,0,0,0,0,3,1.6,2.1,0,Mateo,0.0,132,False,,,50,91651.jpg,0.0,Kovacic,0.8,False,,a,Chelsea,8,0,2554,2554,9201,9201,0.0,0.0,Kovacic,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,484,193,491,202,458,181,496,200,,,,,,,Mateo Kovacic Kovacic,Midfielder,0.0,0,M,CHE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
147,,,109745,0,0,0,0,0,1,2.2,2.7,0,Kepa,0.0,133,False,,,45,109745.jpg,0.0,Arrizabalaga,0.2,False,,a,Chelsea,8,0,471,471,1413,1413,0.0,0.0,Arrizabalaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,367,54,363,36,305,36,383,54,,,,,,,Kepa Arrizabalaga Arrizabalaga,Goalkeeper,0.0,0,GK,CHE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
148,,,116594,0,0,0,0,0,3,1.6,2.1,3,N'Golo,3.0,134,False,,,50,116594.jpg,0.6,Kanté,4.3,False,,a,Chelsea,8,3,26932,26932,21396,21396,0.6,0.6,Kanté,90,0,0,1,0,0,0,0,0,0,0,0,18,27.4,31.3,9.0,6.8,44,19,24,18,103,61,42,25,,,,,,,N'Golo Kanté Kanté,Midfielder,0.6,0,M,CHE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
149,,,124183,0,0,0,0,0,3,2.2,2.7,0,Hakim,0.0,135,False,,,60,124183.jpg,0.0,Ziyech,0.5,False,,a,Chelsea,8,0,1479,1479,6948,6948,0.0,0.0,Ziyech,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,551,240,556,241,550,239,556,241,5.0,,4.0,,4.0,,Hakim Ziyech Ziyech,Midfielder,0.0,0,M,CHE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
150,,,126187,0,0,0,0,0,3,1.6,2.1,1,Ruben,1.0,136,False,,,50,126187.jpg,0.2,Loftus-Cheek,0.1,False,,a,Chelsea,8,1,202,202,503,503,0.2,0.2,Loftus-Cheek,25,0,0,0,0,0,0,0,0,0,0,0,1,5.6,0.8,0.0,0.6,198,82,204,111,465,185,244,112,,,,,,,Ruben Loftus-Cheek Loftus-Cheek,Midfielder,0.2,0,M,CHE,688,0.0,0.0,0.0,0.0,0.0,0.0,0.34946149587631226,0.34946149587631226,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
151,,,165153,0,0,0,0,0,4,2.6,3.1,0,Timo,0.0,137,False,,,80,165153.jpg,0.0,Werner,0.7,False,,a,Chelsea,8,0,1973,1973,11330,11330,0.0,0.0,Werner,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,569,57,570,57,570,57,570,57,,,,,,,Timo Werner Werner,Forward,0.0,0,F,CHE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
152,,,167767,0,0,0,0,0,2,1.0,1.5,0,Robert Kenedy,0.0,138,False,,,40,167767.jpg,0.0,Nunes do Nascimento,0.4,False,,a,Chelsea,8,0,1032,1032,2127,2127,0.0,0.0,Kenedy,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,287,106,282,103,215,67,303,106,,,,,,,Robert Kenedy Nunes do Nascimento Kenedy,Defender,0.0,0,D,CHE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
153,,,172850,0,0,0,0,0,2,3.0,3.5,9,Ben,9.0,139,False,,,60,172850.jpg,1.5,Chilwell,4.2,False,,a,Chelsea,8,9,33001,33001,13860,13860,1.5,1.5,Chilwell,64,0,1,1,0,0,0,0,0,0,0,0,27,3.2,4.7,2.0,1.0,222,90,131,39,177,53,231,85,3.0,,,,,,Ben Chilwell Chilwell,Defender,1.5,1,D,CHE,782,0.0,0.0,0.0,0.0,0.0,0.0,0.1423172652721405,0.1423172652721405,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
154,,,176413,0,0,0,0,0,3,2.2,2.7,1,Christian,1.0,140,False,,,60,176413.jpg,0.2,Pulisic,0.8,False,,a,Chelsea,8,1,2306,2306,6582,6582,0.2,0.2,Pulisic,25,0,0,0,0,0,0,0,0,0,0,0,7,2.0,0.4,4.0,0.6,238,107,227,118,149,84,248,115,,,,,,,Christian Pulisic Pulisic,Midfielder,0.2,0,M,CHE,2662,0.1150658130645752,0.0,1.0,0.0,0.0,0.1150658130645752,0.0,0.0,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
155,,,180736,0,0,0,0,0,2,2.3,2.8,0,Trevoh,0.0,141,False,,,50,180736.jpg,0.0,Chalobah,0.6,False,,a,Chelsea,8,0,571,571,7485,7485,0.0,0.0,Chalobah,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,502,202,511,202,485,198,513,202,,,,,,,Trevoh Chalobah Chalobah,Defender,0.0,0,D,CHE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
156,,,184341,0,0,0,0,0,3,2.7,3.2,3,Mason,3.0,142,False,,,80,184341.jpg,0.4,Mount,9.6,False,,a,Chelsea,8,3,9918,9918,53061,53061,0.4,0.4,Mount,64,0,0,1,0,0,0,0,0,0,0,0,5,8.6,5.0,23.0,3.7,169,65,128,76,54,30,112,61,1.0,,3.0,,2.0,,Mason Mount Mount,Midfielder,0.4,0,M,CHE,7768,0.08732518553733826,0.0,2.0,0.0,0.0,0.08732518553733826,0.240968257188797,0.18149344623088837,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
157,,,204727,0,0,0,0,0,2,2.3,2.8,0,Malang,0.0,143,False,,,50,204727.jpg,0.0,Sarr,0.2,False,,a,Chelsea,8,0,186,186,1604,1604,0.0,0.0,Sarr,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,509,205,517,205,493,202,519,205,,,,,,,Malang Sarr Sarr,Defender,0.0,0,D,CHE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
158,,,209046,0,0,0,0,0,3,2.0,2.5,0,Callum,0.0,144,False,,,55,209046.jpg,0.0,Hudson-Odoi,0.1,False,,a,Chelsea,8,0,262,262,1159,1159,0.0,0.0,Hudson-Odoi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,538,234,546,237,536,233,547,238,,,,,,,Callum Hudson-Odoi Hudson-Odoi,Midfielder,0.0,0,M,CHE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
159,,,219847,0,0,0,0,0,4,2.6,3.1,2,Kai,2.0,145,False,,,80,219847.jpg,0.2,Havertz,4.3,False,,a,Chelsea,8,2,12214,12214,41311,41311,0.2,0.2,Havertz,74,0,0,1,0,0,0,0,0,0,0,0,1,1.6,4.4,47.0,5.3,246,22,132,16,16,7,65,10,,,,,3.0,,Kai Havertz Havertz,Forward,0.2,0,F,CHE,5220,0.17956990003585815,0.0,3.0,0.0,0.0,0.17956990003585815,0.1201949417591095,0.0,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
160,,,225796,0,0,0,0,0,2,3.0,3.5,7,Reece,7.0,146,False,,,60,225796.jpg,1.2,James,40.1,False,,a,Chelsea,8,7,60356,60356,57190,57190,1.2,1.2,James,90,0,0,1,0,0,0,0,1,0,0,2,31,16.4,50.9,19.0,8.6,103,51,5,1,73,14,25,5,4.0,,1.0,,,,Reece James James,Defender,1.2,0,D,CHE,8067,0.08531397581100464,0.1488162875175476,2.0,3.0,0.0,0.08531397581100464,0.6680962443351746,0.6680962443351746,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
161,,,228286,0,0,0,0,1,1,3.1,3.6,7,Edouard,7.0,147,True,,,50,228286.jpg,1.4,Mendy,21.8,False,,a,Chelsea,8,7,85109,85109,34218,34218,1.4,1.4,Mendy,90,0,0,1,0,0,0,0,0,0,3,0,28,27.8,0.0,0.0,2.8,43,6,524,53,501,53,140,6,,,,,,,Edouard Mendy Mendy,Goalkeeper,1.4,0,GK,CHE,6880,0.0,0.0,0.0,0.0,0.0,0.0,0.3928179442882538,0.3928179442882538,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
162,,,232787,0,0,0,0,0,3,2.2,2.7,1,Conor,1.0,148,False,,,60,232787.jpg,0.2,Gallagher,1.7,False,,a,Chelsea,8,1,1082,1082,18999,18999,0.2,0.2,Gallagher,1,0,0,0,0,0,0,0,0,0,0,0,3,2.2,0.5,0.0,0.3,234,104,223,117,556,243,263,121,,,,,,,Conor Gallagher Gallagher,Midfielder,0.2,0,M,CHE,9040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
163,,,243568,0,0,0,0,0,3,1.0,1.5,0,Billy,0.0,149,False,,,45,243568.jpg,0.0,Gilmour,0.7,False,,a,Chelsea,8,0,896,896,3585,3585,0.0,0.0,Gilmour,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,422,152,427,162,387,138,438,161,,,,,,,Billy Gilmour Gilmour,Midfielder,0.0,0,M,CHE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
164,,,440323,0,0,0,0,0,4,1.5,2.0,1,Armando,1.0,150,False,,,55,440323.jpg,0.2,Broja,1.5,False,,a,Chelsea,8,1,3233,3233,10147,10147,0.2,0.2,Broja,15,0,0,0,0,0,0,0,0,0,0,0,3,5.2,0.3,19.0,2.5,203,15,241,30,71,18,153,18,,,,,,,Armando Broja Broja,Forward,0.2,0,F,CHE,8384,0.046084895730018616,0.0,1.0,0.0,0.0,0.046084895730018616,0.0,0.0,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
165,,,199598,0,0,0,0,0,2,1.9,2.4,0,Ethan,0.0,151,False,,,45,199598.jpg,0.0,Ampadu,0.1,False,,a,Chelsea,8,0,289,289,610,610,0.0,0.0,Ampadu,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,396,174,396,171,349,152,412,174,,,,,,,Ethan Ampadu Ampadu,Defender,0.0,0,D,CHE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
166,,,103955,0,0,0,0,0,3,3.2,3.7,3,Raheem,3.0,304,False,,,100,103955.jpg,0.3,Sterling,6.5,False,,a,Chelsea,8,3,10485,10485,32144,32144,0.3,0.3,Sterling,90,0,0,1,0,0,0,0,0,0,0,0,-1,7.0,29.8,56.0,9.3,185,73,29,23,8,4,21,12,,,,,,,Raheem Sterling Sterling,Midfielder,0.3,0,M,CHE,618,0.5667324662208557,0.08732518553733826,3.0,2.0,0.0,0.5667324662208557,0.6695637106895447,0.04335644468665123,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
167,,,86129,0,0,0,0,0,2,2.6,3.1,6,Kalidou,6.0,520,False,,,55,86129.jpg,1.1,Koulibaly,10.1,False,,a,Chelsea,8,6,44481,44481,29894,29894,1.1,1.1,Koulibaly,74,0,0,1,0,0,0,0,0,0,0,0,24,18.4,3.1,17.0,3.9,84,37,148,44,79,17,106,30,,,,,,,Kalidou Koulibaly Koulibaly,Defender,1.1,0,D,CHE,1376,0.038527995347976685,0.0,1.0,0.0,0.0,0.038527995347976685,0.12166240066289902,0.12166240066289902,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
168,,,109533,0,0,0,0,0,2,1.0,1.5,0,Emerson,0.0,545,False,,,40,109533.jpg,0.0,Palmieri dos Santos,0.4,False,,a,Chelsea,8,0,2998,2998,2388,2388,0.0,0.0,Emerson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,283,104,278,101,211,65,299,104,,,,,,,Emerson Palmieri dos Santos Emerson,Defender,0.0,0,D,CHE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[3, 2, 3, 2]",2.5,"[2, 3, 4, 5]","['Spurs', 'Leeds', 'Leicester', 'Southampton']","['H', 'a', 'H', 'a']"
169,,,40836,0,0,0,0,0,1,1.2,1.7,1,Vicente,1.0,152,False,,,45,40836.jpg,0.2,Guaita,1.6,False,,a,Crystal Palace,31,1,1632,1632,4015,4015,0.2,0.2,Guaita,90,0,0,0,2,0,0,0,0,0,1,0,15,13.8,0.0,0.0,1.4,123,13,329,28,264,28,209,12,,,,,,,Vicente Guaita Guaita,Goalkeeper,0.2,0,GK,CRY,2190,0.0,0.0,0.0,0.0,0.0,0.0,0.0250832661986351,0.0250832661986351,"[5, 2, 5, 2]",3.5,"[2, 3, 4, 5]","['Liverpool', 'Aston Villa', 'Man City', 'Brentford']","['a', 'H', 'a', 'H']"
170,0.0,0.0,49413,0,0,0,0,0,2,0.0,0.0,0,James,0.0,153,False,Calf injury - Unknown return date,2022-08-04T15:00:05.354954Z,40,49413.jpg,0.0,Tomkins,1.1,False,,i,Crystal Palace,31,0,270,270,8737,8737,0.0,0.0,Tomkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,274,99,268,96,201,60,290,99,,,,,,,James Tomkins Tomkins,Defender,0.0,0,D,CRY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[5, 2, 5, 2]",3.5,"[2, 3, 4, 5]","['Liverpool', 'Aston Villa', 'Man City', 'Brentford']","['a', 'H', 'a', 'H']"
171,0.0,0.0,50471,0,0,0,0,0,3,0.0,0.0,0,James,0.0,154,False,Groin Injury - Unknown return date,2022-08-01T09:00:04.716469Z,50,50471.jpg,0.0,McArthur,0.0,False,,i,Crystal Palace,31,0,15,15,254,254,0.0,0.0,McArthur,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,474,187,478,195,442,173,486,194,,,,,,,James McArthur McArthur,Midfielder,0.0,0,M,CRY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[5, 2, 5, 2]",3.5,"[2, 3, 4, 5]","['Liverpool', 'Aston Villa', 'Man City', 'Brentford']","['a', 'H', 'a', 'H']"
172,,,54861,0,0,0,0,0,4,0.5,1.0,0,Christian,0.0,155,False,,,55,54861.jpg,0.0,Benteke,1.0,False,,a,Crystal Palace,31,0,2503,2503,12662,12662,0.0,0.0,Benteke,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,524,39,533,45,516,40,534,44,,,,,,,Christian Benteke Benteke,Forward,0.0,0,F,CRY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[5, 2, 5, 2]",3.5,"[2, 3, 4, 5]","['Liverpool', 'Aston Villa', 'Man City', 'Brentford']","['a', 'H', 'a', 'H']"
173,,,55494,0,0,0,0,0,2,0.9,1.4,0,Joel,0.0,156,False,,,45,55494.jpg,0.0,Ward,0.2,False,,a,Crystal Palace,31,0,196,196,1430,1430,0.0,0.0,Ward,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,335,141,331,138,267,105,351,141,,,,,,,Joel Ward Ward,Defender,0.0,0,D,CRY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[5, 2, 5, 2]",3.5,"[2, 3, 4, 5]","['Liverpool', 'Aston Villa', 'Man City', 'Brentford']","['a', 'H', 'a', 'H']"
174,,,57328,0,0,0,0,0,2,0.9,1.4,0,Nathaniel,0.0,157,False,,,45,57328.jpg,0.0,Clyne,0.2,False,,a,Crystal Palace,31,0,694,694,868,868,0.0,0.0,Clyne,90,0,0,0,2,0,0,0,1,0,0,0,9,8.4,14.1,0.0,2.3,170,78,88,27,272,110,161,59,,,,,,,Nathaniel Clyne Clyne,Defender,0.0,0,D,CRY,603,0.0,0.06403308361768723,0.0,1.0,0.0,0.0,0.47557032108306885,0.47557032108306885,"[5, 2, 5, 2]",3.5,"[2, 3, 4, 5]","['Liverpool', 'Aston Villa', 'Man City', 'Brentford']","['a', 'H', 'a', 'H']"
175,,,66975,0,0,0,0,0,3,0.0,0.5,1,Luka,1.0,158,False,,,45,66975.jpg,0.2,Milivojevic,0.7,False,,a,Crystal Palace,31,1,3123,3123,2572,2572,0.2,0.2,Milivojevic,15,0,0,0,1,0,0,0,0,0,0,0,3,0.8,1.4,0.0,0.2,254,116,175,100,282,107,264,122,3.0,,2.0,,2.0,,Luka Milivojevic Milivojevic,Midfielder,0.2,0,M,CRY,5549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[5, 2, 5, 2]",3.5,"[2, 3, 4, 5]","['Liverpool', 'Aston Villa', 'Man City', 'Brentford']","['a', 'H', 'a', 'H']"
176,,,80146,0,0,0,0,0,3,1.0,1.5,2,Jordan,2.0,159,False,,,55,80146.jpg,0.4,Ayew,0.3,False,,a,Crystal Palace,31,2,2065,2065,2062,2062,0.4,0.4,Ayew,90,0,0,0,2,0,0,0,0,0,0,0,5,16.4,37.3,20.0,7.4,101,33,18,14,65,37,36,22,,,,,,,Jordan Ayew Ayew,Midfielder,0.4,0,M,CRY,672,0.06403308361768723,0.10922874510288239,1.0,3.0,0.0,0.06403308361768723,0.173261821269989,0.06403308361768723,"[5, 2, 5, 2]",3.5,"[2, 3, 4, 5]","['Liverpool', 'Aston Villa', 'Man City', 'Brentford']","['a', 'H', 'a', 'H']"
177,,,82403,0,0,0,0,0,3,1.4,1.9,2,Wilfried,2.0,160,False,,,70,82403.jpg,0.3,Zaha,7.5,False,,a,Crystal Palace,31,2,12032,12032,44689,44689,0.3,0.3,Zaha,90,0,0,0,2,0,0,0,0,0,0,0,16,13.6,30.4,32.0,7.6,126,43,26,20,36,17,35,21,4.0,,,,1.0,,Wilfried Zaha Zaha,Midfielder,0.3,0,M,CRY,522,0.028413565829396248,0.44529661536216736,1.0,2.0,0.0,0.028413565829396248,0.5628265142440796,0.08911634981632233,"[5, 2, 5, 2]",3.5,"[2, 3, 4, 5]","['Liverpool', 'Aston Villa', 'Man City', 'Brentford']","['a', 'H', 'a', 'H']"
